patients,doctors,r_matching
P9,D9,0.590122525846898
P9,D10,0.618334170929638
P9,D11,0.622420102014371
P9,D12,0.622005995661848
P9,D13,0.832578359704538
P9,D14,0.625395287174934
P9,D15,0.671033591276892
P9,D16,0.63214997304069
P9,D17,0.651606928139016
P9,D18,0.639246739777917
P9,D19,0.587103223657594
P9,D20,0.62623784806867
P9,D21,0.622578064972155
P9,D22,0.665432381967707
P9,D23,0.656193617299037
P9,D24,0.641599143888801
P9,D25,0.623030299573526
P9,D26,0.613365037864767
P9,D27,0.597726638536775
P9,D28,0.614879772115166
P9,D29,0.607855887164711
P9,D30,0.614344032815495
P9,D31,0.674977208539682
P9,D32,0.606134200832019
P9,D33,0.61215786533139
P9,D34,0.61018839817123
P9,D35,0.672628456119788
P9,D36,0.563763308890555
P10,D1,0.605029674867908
P10,D2,0.676907423314528
P10,D3,0.590032638180767
P10,D4,0.649724976750053
P10,D5,0.589628010051082
P10,D6,0.615321181562433
P10,D7,0.608050907971162
P10,D8,0.673366738785475
P10,D9,0.590760719697531
P10,D10,0.632305571293292
P10,D11,0.629679995173715
P10,D12,0.60191180130147
P10,D13,0.602736418966755
P10,D14,0.64824250654527
P10,D15,0.672559934525982
P10,D16,0.724301678329843
P10,D17,0.640289374800036
P10,D18,0.813787021661986
P10,D19,0.633099468616622
P10,D20,0.60489276334133
P10,D21,0.860097277780338
P10,D22,0.904301179983856
P10,D23,0.834723506479701
P10,D24,0.754661173077714
P10,D25,0.596878773377747
P10,D26,0.649488924551629
P10,D27,0.584527288699841
P10,D28,0.593929485371596
P10,D29,0.680134807573191
P10,D30,0.612659690309341
P10,D31,0.876450245194283
P10,D32,0.624713193110304
P10,D33,0.606031839469796
P10,D34,0.640220470946193
P10,D35,0.848674572764081
P10,D36,0.537695195947412
P11,D1,0.636943653477459
P11,D2,0.619484439642463
P11,D3,0.842730272410724
P11,D4,0.598051605822796
P11,D5,0.675705654671961
P11,D6,0.607901569056624
P11,D7,0.607938208629051
P11,D8,0.608826096712016
P11,D9,0.585394954893183
P11,D10,0.630192772297811
P11,D11,0.648767027670915
P11,D12,0.678057828197142
P11,D13,0.581495369419463
P11,D14,0.6114660167974
P11,D15,0.722817897207684
P11,D16,0.651550723799333
P11,D17,0.634457973736404
P11,D18,0.547090253788264
P11,D19,0.585384614750062
P11,D20,0.677903588137904
P11,D21,0.571098998361806
P11,D22,0.622358811622704
P11,D23,0.675989517415318
P11,D24,0.636584197348166
P11,D25,0.633783481309654
P11,D26,0.657322668653629
P11,D27,0.814495917150551
P11,D28,0.643756659336619
P11,D29,0.613094192131939
P11,D30,0.640519679238523
P11,D31,0.640065970511834
P11,D32,0.60534001372644
P11,D33,0.658149665149825
P11,D34,0.600426910543059
P11,D35,0.648006287597367
P11,D36,0.535276547959665
P12,D1,0.671755389510495
P12,D2,0.669440609121568
P12,D3,0.89251972154379
P12,D4,0.622047614970649
P12,D5,0.653626549837513
P12,D6,0.644400610254274
P12,D7,0.650803992328032
P12,D8,0.66234365496733
P12,D9,0.61723529954439
P12,D10,0.692556899220758
P12,D11,0.715259529722602
P12,D12,0.693674129741343
P12,D13,0.589576841587009
P12,D14,0.669090553194861
P12,D15,0.771214672471485
P12,D16,0.690158102392424
P12,D17,0.656853486646842
P12,D18,0.568666284378411
P12,D19,0.635216094537777
P12,D20,0.688662294235899
P12,D21,0.613089420856917
P12,D22,0.667205340054558
P12,D23,0.690306762618369
P12,D24,0.681192689490201
P12,D25,0.671505739563823
P12,D26,0.682485419704292
P12,D27,0.849426004571662
P12,D28,0.67628075272749
P12,D29,0.66147214887924
P12,D30,0.685723857743402
P12,D31,0.688202009089821
P12,D32,0.657436248313063
P12,D33,0.685275014962169
P12,D34,0.655052811087552
P12,D35,0.675044076845105
P12,D36,0.550003064942971
P13,D1,0.651735271710318
